,Strain,Tob,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
149,ESP021,0.0,149,-22.5474317069193,-40.44121485308615,2.9757439703104582,-7.8139711847127495,-29.957671221928248,-46.972481870391604
150,ESP022,0.0,150,22.004336400547256,62.41844829953708,-5.494865446791929,-1.6068485877275345,29.416449426441705,-3.1931990005640714
151,ESP023,0.0,151,-16.319345769338245,-16.163771549517868,-3.867338117534138,-4.01097544279915,17.495975423775807,-0.8574583061303045
152,ESP024,0.0,152,-18.84557565198357,-8.101362739706254,-5.144968600732119,0.02295331640307907,23.39014631677927,13.089436491181416
153,ESP025,1.0,153,12.230851134762739,-2.7151455992906204,-5.6230485939639525,-1.9053015610780406,28.163191424698194,-6.338416527670979
154,ESP027,0.0,154,-5.822227798459885,-26.736479052340737,-5.254524809740393,-2.068371372402499,23.9288458228144,-7.415635851901044
155,ESP028,0.0,155,4.333949489007175,-36.984340878747766,2.907546885850646,-6.251382648315934,-30.484816464216976,-28.699037404302302
156,ESP029,0.0,156,-11.825968002337929,50.22115733630165,-6.004564831798337,-3.4476607812654283,27.841563242347615,-8.382578855636247
157,ESP031,0.0,157,7.119599569711742,23.094105768904246,1.137261692322338,-0.22141600109542026,-7.023458063587388,-4.667469735025314
158,ESP032,0.0,158,-34.63994120275537,27.16146363825917,-2.1142690345547184,-3.8559384745588794,9.471159991716728,-12.077823475349284
159,ESP033,0.0,159,-14.184293080687805,7.169078092809593,1.9449822506045316,-7.836382443362898,-28.058877166923143,-34.74884195554891
160,ESP034,0.0,160,-5.592920931121644,-9.105115275563046,-2.378142127075349,-5.186127471151067,-3.213877001647379,-11.823427517813862
161,ESP035,0.0,161,-8.894519614965,-9.976369956475681,-5.71610325415237,-5.2942243395575215,21.48697985749239,-3.813402099080413
162,ESP036,0.0,162,-4.45607702837559,-10.82772858279136,-4.8959092476397945,-3.072279441116491,26.676699436317566,-8.423593388627914
163,ESP037,0.0,163,-26.070847758441246,-4.234432199268494,2.210708390860722,-5.901327037047649,-30.383270653474202,-31.032305636056783
164,ESP038,0.0,164,120.08738265794337,23.28527340185345,-5.130796006855858,-3.772742961672355,21.81192868946086,2.932009090609121
165,ESP039,0.0,165,112.03321595433039,66.073745182662,-2.8651786606978673,-4.023503778450979,0.8130825288045607,-8.915385463593594
167,ESP043,1.0,167,79.76641552949481,74.45381479985568,-4.18338159518855,19.50459748345175,26.289855140244523,12.355734186988307
168,ESP044,0.0,168,37.4407721344906,43.406754427486376,-5.841184985616816,-2.2176742943766827,26.789740111387918,-2.372905590865436
