,Strain,Cef,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
238,F1880,0.0,238,125.28345544323858,54.90746897092314,-22.302886697003835,-22.353655387568494,-137.37849023240358,70.10192583152426
240,F1894,1.0,240,11.416925719791204,73.85891003722205,-18.508125106665574,-7.538501120342497,-165.26381514553435,-55.727835742894264
242,F1968,1.0,242,59.14216935580478,93.70693960275702,-19.53124798865582,-8.953348421425886,-163.05348627061167,-57.3151535451791
243,F1979,1.0,243,-7.8439476806469575,-48.61153541869719,69.60917432973206,-11.454921608026511,273.4335743101761,-92.63550731075726
244,F1983,1.0,244,51.66330772662672,-37.72696786762388,69.9708568488291,-11.551156646501832,273.1675574607561,-93.15430269879938
245,F1997,1.0,245,-0.6166186260701702,9.105124447415836,-18.645328585224206,-18.033872981322073,-101.632208681917,43.8017238484997
246,F2000,1.0,246,-43.03545739706302,-103.44335563517465,77.1384457589421,-1.0156523174024832,295.0548012161701,-43.229253376128085
247,F2003,1.0,247,106.71291459543501,40.98900253666376,2.2816656922485525,56.12101226725293,209.07453346486275,63.580871381608716
248,F2005,1.0,248,50.276928597025005,10.215392943241497,-19.252959135234022,-18.495193169736968,-111.06866082429156,33.96255907280928
249,F2006,1.0,249,-109.3993400947244,22.090543954270636,-49.11850046852822,-17.78348005096256,-211.4113005856397,67.32641027322613
250,F2010,1.0,250,74.76140072798404,-33.801791369561904,-20.60340557650265,-9.878961686856101,-206.21466500102318,-28.538742149322605
251,F2017,0.0,251,50.11149356420905,76.18788396097976,-47.630433458854775,-16.795678070357134,-210.10295315429772,65.97519708224063
252,F2020,1.0,252,-13.529952810444684,34.88676787270949,2.027286127930427,56.528474605250175,209.1368148686555,63.65876265375483
254,F2030,0.0,254,58.98313507706069,-46.35857108485545,77.44322959649607,1.0143189060068059,274.90339417304654,-88.49174239353134
255,F2034,0.0,255,35.16551555056721,72.26377344361067,-21.921367474129735,-22.88763491114539,-139.83290567589265,72.69711215113377
256,F2035,0.0,256,145.2740491085911,-22.845096986669397,-47.61637548795238,-16.816353519865817,-210.40156259219597,66.79241539731193
257,F2040,1.0,257,10.28027229768142,-28.03518922835465,82.1776474687496,-10.760998701165962,316.25719794739257,-97.22737957946266
258,F2044,0.0,258,45.41004313975221,55.02681707194303,-11.882095639464945,21.059415103713075,252.51863018390222,103.62897767980758
259,F2045,1.0,259,119.12475201084423,-116.97903312997961,0.6108770482449152,27.270255532964512,255.65047894938323,85.87998346940134
260,F2054,1.0,260,-57.85199879752102,-31.992917296046013,-11.702915941279686,-3.176906733246704,-129.38128142644683,30.806503110305215
261,F2055,1.0,261,-18.565040902565546,-57.117086938627985,-48.94560974196077,-11.407970795331995,-135.67782143713652,68.40849714594809
264,F2064,1.0,264,-59.43953671172351,-87.31376652952254,76.58486458466682,-2.6237319572191997,276.73592425872937,-87.38810579285935
266,F2073,1.0,266,14.223632485679056,4.599671141852831,22.408221984058002,26.82970916460354,227.6435177701851,3.687832372780621
267,F2075,1.0,267,-76.88462583855598,32.85655229483531,-21.19175491901584,-6.928693956951111,-160.6489721824898,-93.36433005230025
